course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
607,Eagle Crest,Alma,Arkansas,"3926 Golf Course Drive,",72921,-94.16776259999999,35.5000044,18,Public,year round,1,12,71,6869,125,73.30,71,6246,120,70.30,71,5257,117,70.40
611,Millwood Landing Golf & RV Resort,Ashdown,Arkansas,596 Hwy 317,71822,-94.0114861,33.7179706,18,Private,year round,1,12,72,6413,118,70.40,72,6159,116,69.30,72,4731,103,62.90
616,Country Club at Bella Vista Village Golf Courses,Bella Vista,Arkansas,101 Town Center,72714,-94.24901779999999,36.4751938,18,Private,year round,1,12,72,6920,126,73.00,72,6432,122,70.80,72,5537,116,71.60
617,Highlands at Bella Vista Village Golf Courses,Bella Vista,Arkansas,101 Town Center,72714,-94.24901779999999,36.4751938,18,Private,year round,1,12,72,6637,135,72.90,72,6098,127,68.90,72,5332,116,69.70
618,Kingswood at Bella Vista Village Golf Courses,Bella Vista,Arkansas,101 Town Center,72714,-94.24901779999999,36.4751938,18,Private,year round,1,12,72,6254,113,69.40,72,5922,110,67.80,71,5103,110,68.70
620,Scottsdale at Bella Vista Village Golf Courses,Bella Vista,Arkansas,101 Town Center,72714,-94.24901779999999,36.4751938,18,Private,year round,1,12,72,6776,128,72.10,72,6296,124,68.90,72,5392,112,69.60
622,Berksdale at Bella Vista Village Golf Courses,Bella Vista,Arkansas,101 Town Center,72714,-94.24901779999999,36.4751938,18,Private,year round,1,12,72,6366,115,69.60,72,6016,112,68.30,71,5001,120,68.80
624,Longhills Golf Course,Benton,Arkansas,327 Hwy 5 No,72015,-92.0827371,35.8505391,18,Semi-Private,year round,1,12,72,6539,108,69.90,72,6143,105,68.20,73,5350,110,69.50
627,DeGray State Park Golf Course,Bismarck,Arkansas,Rural Route 3,71929,-93.17073390000002,34.3162035,18,Public,year round,1,12,72,6930,134,72.70,72,6417,130,70.80,72,5731,123,67.00
628,Blytheville Country Club,Blytheville,Arkansas,Hwy 61 No,72315,-89.9188123,35.9272876,18,Private,year round,1,12,71,6647,115,70.70,71,6115,110,68.00,72,5527,113,70.20
637,Camden Country Club,Camden,Arkansas,1915 W Washington Ave,71701,-92.8657909,33.5858943,18,Private,year round,1,12,70,6175,110,68.60,70,5938,108,67.70,70,5263,116,70.60
639,South at Cherokee Village,Cherokee Village,Arkansas,Laguna Dr,72525,-91.5952205,36.288244,18,Semi-Private,year round,1,12,72,7058,128,73.50,72,6515,123,71.20,72,5270,116,70.40
640,North at Cherokee Village,Cherokee Village,Arkansas,Laguna Dr,72525,-91.5952205,36.288244,18,Semi-Private,year round,1,12,72,6687,120,71.70,72,6072,114,68.90,72,5146,114,69.50
643,Centennial Valley Golf Course,Conway,Arkansas,1600 Centennial Club Dr,72032,-92.50138659999999,35.1020098,18,Private,year round,1,12,72,7103,131,73.40,72,6226,125,69.90,72,4605,112,67.10
648,Chamberlyne Country Club,Danville,Arkansas,Hwy 27 Intersection 154,72833,-93.3934017,35.0539983,18,Private,year round,1,12,72,7047,125,72.90,72,6638,121,70.60,72,6229,116,68.30
649,Bay Ridge Boat & Golf Club,Dardanelle,Arkansas,Bay Ridge Rd,72834,-93.2075334,35.2556793,18,Semi-Private,year round,1,12,72,6289,123,70.10,72,5802,118,67.50,72,4827,118,67.90
650,DeQueen Country Club,De Queen,Arkansas,Route 3 Hwy 70-71,71832,-91.8318334,35.20105,9,Private,year round,1,12,36,3172,120,34.40,36,3067,118,33.90,36,2410,110,32.60
652,Diamond Hills Country Club,Diamond City,Arkansas,Hwy 7 S,72630,-92.9201119,36.4645075,18,Public,year round,1,12,69,6311,111,69.70,69,6017,109,68.30,72,5491,110,71.10
653,El Dorado Golf & Country Club,El Dorado,Arkansas,101 Shady Side Dr,71730,-92.6609713,33.2392704,18,Private,year round,1,12,71,6449,116,70.20,71,6143,114,68.90,73,5427,110,69.80
654,Mountain Ranch Golf Club at Fairfield Bay,Fairfield Bay,Arkansas,820 Lost Creek Pkwy,72088,-92.28827199999999,35.6112397,18,Resort,year round,1,12,72,6780,140,72.80,72,6280,135,70.60,72,5325,133,71.40
655,Indian Hills Golf Course at Fairfield Bay,Fairfield Bay,Arkansas,1008 Snead Dr,72088,-92.2500699,35.6235854,18,Private,year round,1,12,71,6442,127,71.90,71,5734,126,68.70,70,4869,118,69.30
656,Stonebridge Meadows Golf Club,Fayetteville,Arkansas,3495 E Goff Farms Rd,72701,-94.1122876,36.04472579999999,18,Public,year round,1,12,72,7150,138,74.80,72,6605,133,72.30,72,5225,128,70.70
657,Fayetteville Country Club,Fayetteville,Arkansas,3335 Country Club Dr,72701,-94.1576149,36.0292125,18,Private,year round,1,12,70,6208,132,69.60,70,5771,128,67.70,71,4822,120,67.20
658,Paradise Valley,Fayetteville,Arkansas,3728 Old Missouri Rd,72703,-94.126941,36.11743,18,Private,year round,1,12,70,6805,131,73.00,70,6169,125,70.10,70,4614,112,63.30
661,Forrest City Country Club,Forrest City,Arkansas,922 E Cross St,72335,-90.7799398,35.0079593,18,Private,year round,1,12,71,6054,110,67.20,71,5767,107,65.50,72,4800,103,61.10
662,Magnolia/Silo at Ben Geren Regional Park Golf Course,Fort Smith,Arkansas,7200 S Zero St,72903,-94.355611,35.325667,18,Public,year round,1,12,72,6840,114,71.70,72,6459,110,69.70,74,5347,111,69.40
663,Willow/Silo at Ben Geren Regional Park Golf Course,Fort Smith,Arkansas,7200 S Zero St,72903,-94.355611,35.325667,18,Public,year round,1,12,72,6812,118,71.10,72,6411,114,69.30,73,5126,112,68.50
665,Magnolia/Willow at Ben Geren Regional Park Golf Course,Fort Smith,Arkansas,7200 S Zero St,72903,-94.355611,35.325667,18,Public,year round,1,12,72,6732,114,71.30,72,6320,111,69.60,73,5023,109,67.90
666,Fianna Hills Country Club,Fort Smith,Arkansas,1 Essex Pl,72908,-94.4133699,35.290419,18,Private,year round,1,12,72,7043,131,74.20,72,6684,127,72.40,73,5360,116,66.70
668,Hardscrabble Country Club,Fort Smith,Arkansas,5211 S Cliff Dr,72903,-94.3612055,35.3579993,18,Private,year round,1,12,70,6619,130,72.90,70,6301,125,70.30,72,4999,114,70.70
669,Glenwood Country Club,Glenwood,Arkansas,US 70 E,71943,-93.5503114,34.3217112,18,Public,year round,1,12,72,6550,128,70.80,72,5941,122,68.00,72,5076,114,64.10
671,Vache Grasse Country Club,Greenwood,Arkansas,E Hwy 10 Country Club Rd,72936,-94.2245311,35.2030344,18,Semi-Private,year round,1,12,72,6418,114,70.50,72,6254,112,69.50,72,4862,113,67.40
673,Harrison Country Club,Harrison,Arkansas,N Hwy 62-65,72601,-93.1276678,36.2604241,18,Semi-Private,year round,1,12,70,6066,121,69.30,70,5743,118,68.10,72,4943,122,69.70
676,Red Apple Inn & Country Club,Heber Springs,Arkansas,325 Club Dr,72543,-92.1090284,35.4967441,18,Resort,year round,1,12,71,6431,128,71.50,71,6006,125,69.50,71,5137,117,70.20
679,Eighteen Hole at Holiday Island Country Club,Holiday Island,Arkansas,1 Country Club Dr,72631,-93.7300848,36.4659223,18,Private,year round,1,12,70,6159,116,68.30,70,5922,115,68.20,73,5188,121,70.00
680,Hope Country Club,Hope,Arkansas,3605 Patmos Rd,71801,-93.5793121,33.6314237,18,Private,year round,1,12,71,6035,122,69.00,71,5621,122,67.10,71,4725,118,67.20
