course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga,phone,architect,year_built,guest_policy,credit_card,range,rental_club,pro_in_House,metal_spikes_okay,weekday,weekend,tee_time_welcomed,rental_cart_available
607,Eagle Crest,Alma,Arkansas,"3926 Golf Course Drive,",72921,-94.16776259999999,35.5000044,18,Public,year round,1,12,71,6869,125,73.30,71,6246,120,70.30,71,5257,117,70.40,(479) 632-8857,Mark Hayes,1996,Open,"VISA, MasterCard, Amex Welcomed",Yes,Yes,Yes,No,33$,38$,Yes,Included in fee
611,Millwood Landing Golf & RV Resort,Ashdown,Arkansas,596 Hwy 317,71822,-94.0114861,33.7179706,18,Private,year round,1,12,72,6413,118,70.40,72,6159,116,69.30,72,4731,103,62.90,(870) 898-6674,,1975,Closed,"VISA, MasterCard Welcomed",Yes,Yes,No,No,$,$,No,Yes
616,Country Club at Bella Vista Village Golf Courses,Bella Vista,Arkansas,101 Town Center,72714,-94.24901779999999,36.4751938,18,Private,year round,1,12,72,6920,126,73.00,72,6432,122,70.80,72,5537,116,71.60,(501) 855-8172,Joe Finger,1968,Closed,"VISA, MasterCard, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
617,Highlands at Bella Vista Village Golf Courses,Bella Vista,Arkansas,101 Town Center,72714,-94.24901779999999,36.4751938,18,Private,year round,1,12,72,6637,135,72.90,72,6098,127,68.90,72,5332,116,69.70,(501) 855-8172,"Ault, Clark & Associates",1988,Closed,"VISA, MasterCard, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
618,Kingswood at Bella Vista Village Golf Courses,Bella Vista,Arkansas,101 Town Center,72714,-94.24901779999999,36.4751938,18,Private,year round,1,12,72,6254,113,69.40,72,5922,110,67.80,71,5103,110,68.70,(501) 855-8172,"Ault, Clark & Associates",1971,Closed,"VISA, MasterCard, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
620,Scottsdale at Bella Vista Village Golf Courses,Bella Vista,Arkansas,101 Town Center,72714,-94.24901779999999,36.4751938,18,Private,year round,1,12,72,6776,128,72.10,72,6296,124,68.90,72,5392,112,69.60,(501) 855-8172,"Ault, Clark & Associates",1981,Closed,"VISA, MasterCard, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
622,Berksdale at Bella Vista Village Golf Courses,Bella Vista,Arkansas,101 Town Center,72714,-94.24901779999999,36.4751938,18,Private,year round,1,12,72,6366,115,69.60,72,6016,112,68.30,71,5001,120,68.80,(501) 855-8172,"Ault, Clark & Associates",1973,Closed,"VISA, MasterCard, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
624,Longhills Golf Course,Benton,Arkansas,327 Hwy 5 No,72015,-92.0827371,35.8505391,18,Semi-Private,year round,1,12,72,6539,108,69.90,72,6143,105,68.20,73,5350,110,69.50,(501) 316-3000,W. T. Martin,1955,Open,"VISA, MasterCard, Discover Welcomed",Yes,No,Yes,No,$,$,Yes,Yes
627,DeGray State Park Golf Course,Bismarck,Arkansas,Rural Route 3,71929,-93.17073390000002,34.3162035,18,Public,year round,1,12,72,6930,134,72.70,72,6417,130,70.80,72,5731,123,67.00,(501) 865-2807,Leon Howard,1976,Open,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
628,Blytheville Country Club,Blytheville,Arkansas,Hwy 61 No,72315,-89.9188123,35.9272876,18,Private,year round,1,12,71,6647,115,70.70,71,6115,110,68.00,72,5527,113,70.20,(870) 763-7821,Dick Wilson,1957,Reciprocal,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,No,Yes
